"ASV","Phylum","Class","Order","Family","Genus","Species","s.C_wild","s.H_wild","s.O_wild","p.value","stat"
"11ae66f777a2e9bf18d1579578cf1954","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella",NA,1,NA,NA,0.005,0.891
"2f09b2e2a46164807f74ab8beba064c6","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia",NA,1,NA,NA,0.01,0.934
"462055cd6defaa12d5c41eded8532f8e","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides","s__gut_metagenome",1,NA,NA,0.005,0.879
"118c6306a9db8a2074635074f7d90c84","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__gut_metagenome",1,NA,NA,0.005,0.89
"84d782d662adfe0d4572585cefafb6b1","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Tannerellaceae","g__Parabacteroides",NA,1,NA,NA,0.005,0.899
"a7f494f382ad168adadc3fc16d0f47bb","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Rikenellaceae_RC9_gut_group","s__uncultured_bacterium",1,NA,NA,0.005,0.953
"16fc35d7238aa661a832234c178281c3","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Marinifilaceae","g__Odoribacter","s__uncultured_bacterium",1,NA,NA,0.01,0.864
"b6379fd4f3a7d2c52d0d261714136c31","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003","s__uncultured_bacterium",1,NA,NA,0.015,0.844
"6d534a09162722f86cdc289491fa3cec","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,1,NA,NA,0.02,0.903
"7d9a7f29775c1b1f2eb5aa21b37a62ff","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium",1,NA,NA,0.02,0.938
"cfeecc427c85c4b9a39ba5871d21eb68","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__uncultured_bacterium",1,NA,NA,0.025,0.85
"d94d458615a2d9c7684689fe5fbbe4d0","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group","s__uncultured_bacterium",1,NA,NA,0.005,0.88
"94be885e769625bd18e5f979972796c7","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__gut_metagenome",1,NA,NA,0.005,0.882
"fa28663eecb595681afc1895a376af2c","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-010",NA,1,NA,NA,0.005,0.883
"06f7b909a3fad0bd581dd107f3835b22","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_nodatum_group","s__uncultured_organism",1,NA,NA,0.005,0.892
"0bcaeb000362815ea4871ee69c407b65","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Erysipelatoclostridium","s__unidentified",1,NA,NA,0.005,0.894
"4c4a1521ce6db85f9b6bc2ef04a33eea","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Candidatus_Stoquefichus","s__gut_metagenome",1,NA,NA,0.005,0.894
"c3ad161334e69c38318d41808df62838","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_bacterium",1,NA,NA,0.005,0.895
"6a37e286f8bf7b4292865668f71e2ae4","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_prokaryote",1,NA,NA,0.005,0.904
"d8734b2b721115b2ebab69900e532510","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured",NA,1,NA,NA,0.005,0.912
"958a518080466103d9a4804ac8c68284","p__Firmicutes","c__Clostridia","o__Monoglobales","f__Monoglobaceae","g__Monoglobus","s__uncultured_bacterium",1,NA,NA,0.005,0.93
"44b2c21e6aff0de62602fb97d31503b2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA,1,NA,NA,0.005,0.937
"50efc974dc15941345bcff5b4e96e15a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,1,NA,NA,0.005,0.944
"76f8efcc44e5ecb634df336567c3c87f","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__human_gut",1,NA,NA,0.005,0.956
"9191d88f4606c27ab1151aceca415357","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_brachy_group","s__uncultured_bacterium",1,NA,NA,0.005,0.958
"a1b5039ab5e75b1d19be59d1ad3d2486","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__Ruminococcus_torques",1,NA,NA,0.005,0.96
"869cf3585652868e3833c8e0ee697af6","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group",NA,1,NA,NA,0.005,0.961
"8354ed736268c7e261e225222f0b4740","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus",NA,1,NA,NA,0.005,0.968
"401cad1caaf0490502f3cc0a99dab71a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_organism",1,NA,NA,0.005,0.972
"e9d145e145015913a500c636ac585664","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured","s__Intestinimonas_massiliensis",1,NA,NA,0.005,0.973
